startdate,enddate,event,opponent,location,time,coach,assist,driver,notes
6/30/2018,6/30/2018,U15 Hoops,Nashoba North,Home,2:30,,,,3 v. 3
6/30/2018,6/30/2018,U13 Tennis,Nashoba North,Nashoba North,2:30,,,,3 + 2
7/1/2018,7/1/2018,U15 Soccer,Nashoba North,Home,2:30,,,,6 v. 6
7/1/2018,7/1/2018,U13 Tennis,Nashoba North,Nashoba North,2:30,,,,
7/10/2018,7/10/2018,Nashoba Cup,,Nashoba North,,,,,
7/12/2018,7/12/2018,U15 Ultimate,Netop,Home,2:30,,,,
7/12/2018,7/13/2018,AAITT,,Home,,,,,
7/13/2018,7/14/2018,Wabinoden ,,,,,,,
7/14/2018,7/14/2018,Agawam Cup,,Home,2-5pm,,,,
7/15/2018,7/15/2018,U15 Lax,Laurel South,Home- Nelson Fields,,,,,
7/17/2018,7/17/2018,U13 Baseball,Netop,Netop,2:30,,,,
7/18/2018,7/18/2018,U15 Baseball,Timanous,Home,2:30,,,,
7/2/2018,7/2/2018,U13 Soccer,Netop,Netop,2:30,,,,Call w/ numbers
7/20/2018,7/20/2018,U15 Archery/Riflery,Timanous,Timanous,2:30,,,,
7/20/2018,7/20/2018,U13 Tennis,Timanous,Home,2:30,,,,
7/21/2018,7/21/2018,U15 Hoops,Timanous,Home,2:30,,,,
7/24/2018,7/24/2018,U10 Kickball,Netop,Home,3:00,,,,
7/24/2018,7/24/2018,U15 Lax,Laurel South,Home,2:30,,,,
7/25/2018,7/25/2018,U15 Archery,Netop,Home,2:30,,,,6 total
7/26/2018,7/26/2018,U15 Flag Football,Netop,Home,2:30,,,,
7/28/2018,7/28/2018,U12 Soccer,Timanous,Home,2:30,,,,
7/28/2018,7/28/2018,Netop Fishing Derby,,Netop,2:30,,,,4 boys
7/28/2018,7/28/2018,Cardboard Regatte,Timanous & Netop,Home,2:30,,,,
7/3/2018,7/3/2018,U13 Baseball,Netop,Home,2:30,,,,
7/3/2018,7/3/2018,Ping Pong,Netop,Netop,2:30,,,,
7/31/2018,8/1/2018,Six-A-Side,,Home,,,,,
7/6/2018,7/6/2018,U13 Hoops,Laurel South,Laurel South,7:30pm,,,,5 v. 5
7/7/2018,7/7/2018,Fishing Derby,,Netop,2:30,,,,4 boys
7/7/2018,7/7/2018,U11 Kickball,Netop,Netop,2:30,,,,
7/7/2018,7/7/2018,Agawam Cup,,Home,2-5pm,,,,
7/9/2018,7/9/2018,U15 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/2/2018,8/2/2018,U15 Tennis,Nashoba North,Nashoba North,2:30,,,,
8/2/2018,8/2/2018,U12 Kickball,Nashoba North,Home,2:30,,,,
8/3/2018,8/3/2018,Disc Golf,Nashoba North,Nashoba North,2:30,,,,
8/3/2018,8/3/2018,U15 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/4/2018,8/4/2018,U15 Soccer,Nashoba North,Home,2:30,,,,
8/7/2018,8/7/2018,U13 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/9/2018,8/9/2018,U15 Flag Football,Laurel South,Home,2:30,,,,